Project Number,Project Name,Full Address,Latitude,Longitude,Legal Description,Project Manager,Project Status
RS19682,Dean - 10 Jack Boyd Drive,"10 Jack Boyd Drive, Mangawhai Heads, Mangawhai, 0573, New Zealand",0.0,0.0,,Logan Holt,Proposal
RS19681,Kayne - Tara Iti Fire Pit,"29 Tara Iti Drive, Mangawhai, Mangawhai, 0975, New Zealand",0.0,0.0,,Logan Holt,Proposal
RS19680,Jeff Heasley - 236 Western Hills Drive,"236 Western Hills Drive, Avenues, Whangārei, 0110, New Zealand",-35.716976,174.314743,,Codie Hay,Proposal
RS19679,Morgan Projects - 2A Millers Lane,"2A Millers Lane, Tikipunga, Whangārei, 0112, New Zealand",-35.702735,174.326721,,Daniel Squires,Proposal
RS19678,"Clint Scott-Davidson (Affordable Houses Ltd.) - 26 Tui Crescent, Maunu","26 Tui Crescent, Maunu, Whangārei, 0110, New Zealand",-35.740795,174.284286,,Matthew Jacobson,Active
RS19677,Barber - 153 Otaika Rd,"153 Otaika Road, Raumanga, Whangārei, 0110, New Zealand",-35.742816,174.308624,,Matthew Hargood,Proposal
RS19676,GJ Gardner -18 Montgomery Avenue - Mansell,"18 Montgomery Avenue, Onerahi, Whangārei, 0110, New Zealand",-35.74479,174.369217,,Codie Hay,Active
RS19675,"Sportsville Dargaville (Cato Bolam) – Pioneer Park, Dargaville","Pioneer Park, Sportsville Dargaville, Dargaville, Dargaville, New Zealand",-35.949077,173.860657,,Matthew Jacobson,Active
RS19674,"Nigel Banks - Lot 6 Shieling Road, Waipu","Lot 6 Shieling Road, Waipu, Waipu, 0582, New Zealand",-35.981857,174.402786,,Matthew Jacobson,Active
RS19673,Signature Homes - 81 Riding Downs Way,"81 Riding Downs Way, Maunu, Whangārei, 0179, New Zealand",-35.74929,174.240158,,Nathan Walker,Proposal
RS19672,Signature Homes - 62 Waitete Heights Lane,"62 Waitete Heights Lane, Kerikeri, Kerikeri, 0294, New Zealand",-35.188873,173.980942,,Nathan Walker,Proposal
RS19671,Lloyd-Jones - 90 Bank St,"90 Bank Street, City central, Whangārei, 0110, New Zealand",-35.723564,174.32,,Matthew Hargood,Proposal
RS19670,PCM - 67 Portland Rd,"67 Portland Road, Portland, 0178, New Zealand",-35.792503,174.309219,,Matthew Hargood,Proposal
